Line#,Date,"Wind Direction (S-WDA 20989094:20975986-1), *, AMNC, Kingston, NY","Wind Speed (S-WSB 20989094:20977362-1), m/s, AMNC, Kingston, NY","Gust Speed (S-WSB 20989094:20977362-2), m/s, AMNC, Kingston, NY","Temperature (S-THB 20989094:20977910-1), *C, AMNC, Kingston, NY","RH (S-THB 20989094:20977910-2), %, AMNC, Kingston, NY","Dew Point (S-THB 20989094:20977910-3), *C, AMNC, Kingston, NY","Pressure (S-BPB 20989094:20979916-1), mbar, AMNC, Kingston, NY"
1,04/01/21 00:15:00,173,0.5,4.5,14.41,90.40,12.87,"1,004.0"
2,04/01/21 01:15:00,177,0.5,3.5,14.58,91.60,13.24,"1,003.4"
3,04/01/21 02:15:00,160,0.5,3.5,14.43,91.20,13.03,"1,002.9"
4,04/01/21 03:15:00,73,2.0,10.6,9.21,92.00,7.99,"1,003.1"
5,04/01/21 04:15:00,27,4.0,9.6,7.17,96.40,6.64,"1,003.5"
6,04/01/21 05:15:00,25,3.5,8.6,5.74,96.00,5.16,"1,003.0"
7,04/01/21 06:15:00,20,2.5,6.5,5.36,95.50,4.70,"1,001.9"
8,04/01/21 07:15:00,4,1.5,6.5,5.90,88.90,4.21,"1,000.9"
9,04/01/21 08:15:00,293,0.5,5.5,6.46,84.50,4.04,"1,001.2"
10,04/01/21 09:15:00,345,2.5,9.1,7.12,68.10,1.64,"1,000.5"
11,04/01/21 10:15:00,352,3.5,10.6,7.29,62.50,0.61,"1,001.8"
12,04/01/21 11:15:00,355,3.0,11.1,6.31,70.00,1.25,"1,002.2"
13,04/01/21 12:15:00,14,3.5,8.6,5.36,75.90,1.46,"1,001.2"
14,04/01/21 13:15:00,20,3.0,9.6,5.00,80.00,1.84,"1,001.5"
15,04/01/21 14:15:00,10,1.5,6.0,5.26,81.20,2.30,"1,001.4"
16,04/01/21 15:15:00,1,2.0,8.1,5.95,77.80,2.38,"1,002.2"
17,04/01/21 16:15:00,316,1.0,5.5,8.17,58.00,0.41,"1,002.4"
18,04/01/21 17:15:00,347,3.0,8.6,8.82,44.80,-2.51,"1,000.5"
19,04/01/21 18:15:00,293,4.5,10.1,8.39,43.50,-3.29,"1,002.3"
20,04/01/21 19:15:00,295,5.0,9.6,7.09,48.10,-3.14,"1,002.9"
21,04/01/21 20:15:00,291,4.5,10.6,6.94,47.70,-3.39,"1,003.6"
22,04/01/21 21:15:00,306,4.5,9.1,6.26,48.00,-3.94,"1,004.2"
23,04/01/21 22:15:00,303,3.5,8.6,6.10,50.50,-3.40,"1,005.1"
24,04/01/21 23:15:00,300,2.5,6.5,5.18,53.70,-3.44,"1,005.9"
25,04/02/21 00:15:00,312,1.5,6.5,4.48,46.80,-5.90,"1,007.1"
26,04/02/21 01:15:00,338,2.0,6.0,3.46,48.60,-6.35,"1,008.4"
27,04/02/21 02:15:00,357,2.5,7.5,2.61,47.40,-7.45,"1,008.6"
28,04/02/21 03:15:00,355,2.5,7.5,2.07,47.50,-7.92,"1,009.0"
29,04/02/21 04:15:00,4,2.0,7.0,1.72,49.50,-7.71,"1,009.1"
30,04/02/21 05:15:00,18,2.0,5.5,0.00,56.70,-7.57,"1,009.4"
31,04/02/21 06:15:00,336,2.5,6.0,-0.42,49.70,-9.64,"1,010.0"
32,04/02/21 07:15:00,307,2.5,6.0,-0.90,46.90,-10.82,"1,009.9"
33,04/02/21 08:15:00,303,1.5,5.0,-1.84,48.40,-11.29,"1,010.7"
34,04/02/21 09:15:00,334,3.0,9.1,-3.42,47.60,-12.95,"1,012.0"
35,04/02/21 10:15:00,354,3.0,8.1,-3.42,44.70,-13.72,"1,012.8"
36,04/02/21 11:15:00,348,2.5,7.5,-3.15,43.00,-13.95,"1,013.5"
37,04/02/21 12:15:00,340,2.5,7.5,-2.77,44.40,-13.21,"1,013.9"
38,04/02/21 13:15:00,331,2.5,7.0,-2.30,40.90,-13.79,"1,013.9"
39,04/02/21 14:15:00,319,3.0,7.5,-1.27,41.50,-12.68,"1,014.1"
40,04/02/21 15:15:00,320,3.0,7.0,-1.56,45.60,-11.77,"1,014.1"
41,04/02/21 16:15:00,321,3.5,8.1,-0.26,35.40,-13.71,"1,013.6"
42,04/02/21 17:15:00,293,2.5,7.5,-0.26,36.40,-13.37,"1,013.8"
43,04/02/21 18:15:00,291,2.0,7.0,1.70,34.40,-12.33,"1,013.4"
44,04/02/21 19:15:00,326,2.5,6.5,2.34,34.90,-11.58,"1,013.1"
45,04/02/21 20:15:00,319,2.5,7.0,2.24,35.20,-11.57,"1,013.1"
46,04/02/21 21:15:00,314,2.0,5.5,2.72,33.50,-11.76,"1,013.4"
47,04/02/21 22:15:00,324,2.5,7.0,3.19,30.50,-12.50,"1,014.1"
48,04/02/21 23:15:00,302,3.5,8.6,2.18,32.50,-12.60,"1,015.1"
49,04/03/21 00:15:00,302,3.5,8.6,1.40,32.70,-13.22,"1,016.1"
50,04/03/21 01:15:00,300,3.0,7.5,1.18,31.10,-14.02,"1,016.9"
51,04/03/21 02:15:00,299,2.5,6.0,0.77,31.60,-14.19,"1,017.3"
52,04/03/21 03:15:00,293,2.0,6.0,0.44,33.30,-13.84,"1,017.4"
53,04/03/21 04:15:00,263,1.0,4.5,-0.68,37.50,-13.39,"1,017.7"
54,04/03/21 05:15:00,258,0.0,1.0,-2.02,44.30,-12.55,"1,017.6"
55,04/03/21 06:15:00,261,0.0,1.5,-3.04,53.60,-11.12,"1,017.5"
56,04/03/21 07:15:00,240,0.0,1.5,-3.06,53.60,-11.15,"1,017.4"
57,04/03/21 08:15:00,222,0.0,1.5,-2.25,52.60,-10.62,"1,017.4"
58,04/03/21 09:15:00,213,0.0,2.5,-3.18,55.90,-10.73,"1,018.1"
59,04/03/21 10:15:00,204,0.0,2.0,-3.99,59.10,-10.79,"1,019.1"
60,04/03/21 11:15:00,202,0.5,2.5,-3.39,61.40,-9.75,"1,019.9"
61,04/03/21 12:15:00,190,0.0,2.0,-1.18,53.50,-9.42,"1,020.3"
62,04/03/21 13:15:00,195,0.5,3.0,3.41,39.90,-8.94,"1,018.6"
63,04/03/21 14:15:00,102,0.5,4.0,5.77,28.60,-11.05,"1,018.2"
64,04/03/21 15:15:00,74,0.5,4.5,6.79,22.50,-13.15,"1,017.2"
65,04/03/21 16:15:00,154,1.0,4.5,8.57,21.50,-12.22,"1,016.6"
66,04/03/21 17:15:00,132,1.0,5.5,10.79,20.10,-11.20,"1,015.7"
67,04/03/21 18:15:00,135,1.0,4.5,9.78,18.90,-12.80,"1,015.4"
68,04/03/21 19:15:00,163,1.0,5.0,10.64,18.70,-12.22,"1,015.5"
69,04/03/21 20:15:00,21,1.0,5.0,12.44,17.30,-11.71,"1,014.8"
70,04/03/21 21:15:00,129,1.0,4.5,11.20,17.20,-12.79,"1,014.6"
71,04/03/21 22:15:00,143,0.5,3.5,12.46,16.70,-12.13,"1,014.4"
72,04/03/21 23:15:00,62,0.5,3.0,9.53,19.50,-12.62,"1,014.6"
73,04/04/21 00:15:00,122,0.0,2.0,7.37,26.60,-10.58,"1,014.9"
74,04/04/21 01:15:00,258,0.0,1.5,6.15,32.70,-9.03,"1,015.6"
75,04/04/21 02:15:00,320,0.0,1.5,4.17,40.70,-8.00,"1,015.6"
76,04/04/21 03:15:00,302,0.0,1.0,3.46,45.40,-7.23,"1,015.5"
77,04/04/21 04:15:00,279,0.0,1.5,2.21,49.80,-7.18,"1,015.6"
78,04/04/21 05:15:00,211,0.0,1.5,0.74,58.30,-6.51,"1,015.1"
79,04/04/21 06:15:00,206,0.0,1.0,0.60,61.10,-6.02,"1,014.6"
80,04/04/21 07:15:00,201,0.0,1.5,1.70,52.00,-7.10,"1,014.0"
81,04/04/21 08:15:00,177,0.0,1.5,1.86,67.70,-3.48,"1,013.7"
82,04/04/21 09:15:00,128,0.0,1.5,1.83,67.50,-3.54,"1,013.1"
83,04/04/21 10:15:00,140,0.0,1.0,2.72,60.00,-4.27,"1,013.1"
84,04/04/21 11:15:00,146,0.0,1.5,2.48,62.30,-3.99,"1,012.9"
85,04/04/21 12:15:00,147,0.0,1.0,2.50,63.20,-3.78,"1,012.7"
86,04/04/21 13:15:00,171,0.0,1.0,3.88,64.60,-2.18,"1,012.4"
87,04/04/21 14:15:00,166,0.0,0.5,7.19,50.10,-2.50,"1,011.9"
88,04/04/21 15:15:00,277,0.0,2.0,11.37,28.00,-6.48,"1,009.4"
89,04/04/21 16:15:00,86,0.5,3.0,11.61,23.60,-8.48,"1,010.6"
90,04/04/21 17:15:00,93,0.5,3.0,13.83,23.40,-6.71,"1,008.3"
91,04/04/21 18:15:00,37,1.0,4.0,15.63,22.80,-5.53,"1,007.6"
92,04/04/21 19:15:00,108,1.5,5.5,16.42,23.90,-4.25,"1,007.5"
93,04/04/21 20:15:00,53,2.0,6.0,16.68,25.40,-3.22,"1,006.8"
94,04/04/21 21:15:00,14,2.0,9.1,17.42,24.80,-2.91,"1,006.4"
95,04/04/21 22:15:00,303,3.5,9.1,15.29,27.80,-3.19,"1,006.5"
96,04/04/21 23:15:00,316,2.5,6.0,14.41,30.20,-2.84,"1,007.0"
97,04/05/21 00:15:00,314,2.5,8.1,13.33,32.50,-2.80,"1,007.9"
98,04/05/21 01:15:00,309,3.5,8.6,12.80,33.60,-2.82,"1,008.4"
99,04/05/21 02:15:00,320,2.5,7.0,11.86,35.30,-2.99,"1,009.0"
100,04/05/21 03:15:00,331,3.0,7.5,11.37,35.90,-3.19,"1,008.9"
101,04/05/21 04:15:00,320,3.5,9.6,11.10,37.80,-2.74,"1,008.5"
102,04/05/21 05:15:00,314,3.0,9.6,10.34,40.30,-2.56,"1,008.0"
103,04/05/21 06:15:00,293,2.5,7.5,11.05,37.80,-2.78,"1,007.3"
104,04/05/21 07:15:00,323,3.0,9.6,10.64,37.40,-3.30,"1,006.8"
105,04/05/21 08:15:00,323,3.5,9.6,10.27,38.30,-3.31,"1,006.4"
106,04/05/21 09:15:00,337,4.0,11.1,10.44,38.10,-3.22,"1,006.5"
107,04/05/21 10:15:00,347,5.0,12.1,10.00,37.70,-3.76,"1,006.8"
108,04/05/21 11:15:00,347,5.0,12.1,9.56,37.70,-4.15,"1,007.4"
109,04/05/21 12:15:00,343,4.0,10.6,9.78,37.30,-4.10,"1,007.6"
110,04/05/21 13:15:00,347,4.5,11.1,11.47,32.90,-4.27,"1,006.1"
111,04/05/21 14:15:00,340,4.0,10.6,13.50,28.60,-4.36,"1,005.5"
112,04/05/21 15:15:00,347,4.0,8.6,14.86,21.40,-7.00,"1,004.5"
113,04/05/21 16:15:00,15,3.5,7.5,16.30,22.90,-4.92,"1,003.7"
114,04/05/21 17:15:00,333,3.0,8.6,17.99,16.60,-7.72,"1,002.9"
115,04/05/21 18:15:00,358,4.0,12.1,18.91,14.80,-8.44,"1,002.8"
116,04/05/21 19:15:00,337,4.5,12.6,18.96,14.10,-9.03,"1,003.4"
117,04/05/21 20:15:00,330,4.5,11.6,18.84,15.30,-8.08,"1,003.2"
118,04/05/21 21:15:00,324,4.5,10.6,18.32,16.60,-7.45,"1,003.5"
119,04/05/21 22:15:00,314,4.0,9.1,17.65,18.20,-6.80,"1,003.6"
120,04/05/21 23:15:00,320,3.0,7.5,15.53,22.10,-6.02,"1,004.3"
121,04/06/21 00:15:00,303,2.5,6.5,14.17,25.30,-5.40,"1,005.3"
122,04/06/21 01:15:00,286,1.0,5.0,13.02,27.00,-5.53,"1,006.7"
123,04/06/21 02:15:00,295,3.0,7.5,11.95,29.00,-5.51,"1,007.2"
124,04/06/21 03:15:00,323,2.0,7.5,11.10,30.50,-5.59,"1,007.4"
125,04/06/21 04:15:00,333,1.5,5.5,10.54,33.00,-5.05,"1,007.3"
126,04/06/21 05:15:00,327,3.0,10.1,10.47,31.70,-5.64,"1,007.0"
127,04/06/21 06:15:00,313,4.5,9.6,10.49,29.60,-6.51,"1,006.5"
128,04/06/21 07:15:00,305,2.5,8.1,9.39,31.80,-6.55,"1,006.0"
129,04/06/21 08:15:00,285,1.5,4.5,8.49,33.40,-6.69,"1,005.9"
130,04/06/21 09:15:00,281,0.5,3.0,6.96,36.90,-6.75,"1,006.3"
131,04/06/21 10:15:00,289,0.5,4.0,7.17,35.70,-7.00,"1,006.7"
132,04/06/21 11:15:00,14,1.0,6.0,7.72,35.60,-6.55,"1,007.3"
133,04/06/21 12:15:00,11,1.5,5.0,8.44,35.50,-5.94,"1,007.6"
134,04/06/21 13:15:00,38,1.5,5.0,10.83,32.90,-4.83,"1,006.6"
135,04/06/21 14:15:00,24,2.0,8.6,12.82,23.80,-7.34,"1,006.3"
136,04/06/21 15:15:00,13,4.0,9.1,14.55,21.90,-6.96,"1,005.6"
137,04/06/21 16:15:00,25,3.5,7.5,15.70,20.90,-6.61,"1,004.6"
138,04/06/21 17:15:00,20,3.0,7.5,17.22,21.90,-4.73,"1,004.1"
139,04/06/21 18:15:00,31,4.0,8.1,17.42,24.40,-3.13,"1,003.7"
140,04/06/21 19:15:00,32,3.5,8.1,18.08,25.10,-2.18,"1,004.3"
141,04/06/21 20:15:00,44,2.5,6.5,19.17,23.50,-2.15,"1,004.2"
142,04/06/21 21:15:00,45,2.5,8.6,20.27,21.90,-2.18,"1,004.1"
143,04/06/21 22:15:00,29,3.0,8.1,19.44,20.60,-3.70,"1,004.6"
144,04/06/21 23:15:00,32,2.0,6.5,17.80,22.30,-4.01,"1,005.2"
145,04/07/21 00:15:00,347,0.5,3.0,15.20,26.10,-4.11,"1,006.0"
146,04/07/21 01:15:00,345,0.0,1.0,12.44,34.20,-2.90,"1,007.0"
147,04/07/21 02:15:00,344,0.0,0.5,10.91,38.10,-2.81,"1,007.3"
148,04/07/21 03:15:00,345,0.0,6.0,12.61,26.80,-5.98,"1,007.9"
149,04/07/21 04:15:00,7,2.5,6.5,12.75,31.50,-3.72,"1,008.2"
150,04/07/21 05:15:00,10,2.0,6.5,12.15,40.40,-0.90,"1,008.5"
151,04/07/21 06:15:00,344,0.5,4.5,11.69,43.30,-0.37,"1,008.5"
152,04/07/21 07:15:00,10,1.0,4.0,10.88,46.20,-0.21,"1,008.2"
153,04/07/21 08:15:00,28,0.5,4.5,9.04,53.00,-0.02,"1,007.8"
154,04/07/21 09:15:00,22,0.0,1.0,7.17,59.10,-0.28,"1,007.9"
155,04/07/21 10:15:00,20,0.0,1.5,5.95,64.20,-0.29,"1,009.1"
156,04/07/21 11:15:00,205,0.0,1.0,6.15,62.00,-0.58,"1,009.3"
157,04/07/21 12:15:00,225,0.0,1.5,10.34,49.20,0.16,"1,009.5"
158,04/07/21 13:15:00,1,0.0,3.0,14.53,42.50,1.95,"1,008.1"
159,04/07/21 14:15:00,29,1.5,4.5,14.60,45.00,2.81,"1,008.2"
160,04/07/21 15:15:00,34,2.5,7.0,16.08,41.10,2.88,"1,006.6"
161,04/07/21 16:15:00,39,3.0,7.5,17.56,39.70,3.71,"1,006.3"
162,04/07/21 17:15:00,32,3.0,7.5,19.60,35.90,4.10,"1,005.6"
163,04/07/21 18:15:00,35,3.0,7.5,19.63,34.80,3.68,"1,005.4"
164,04/07/21 19:15:00,27,3.0,8.1,20.46,34.60,4.33,"1,005.9"
165,04/07/21 20:15:00,31,3.5,9.1,20.75,34.00,4.33,"1,005.9"
166,04/07/21 21:15:00,34,4.0,10.1,20.89,33.50,4.25,"1,006.2"
167,04/07/21 22:15:00,32,2.5,6.0,21.13,33.00,4.24,"1,006.9"
168,04/07/21 23:15:00,27,2.0,5.5,19.58,36.30,4.24,"1,007.2"
169,04/08/21 00:15:00,39,1.0,3.0,18.20,40.40,4.54,"1,007.8"
170,04/08/21 01:15:00,21,0.5,2.5,15.49,48.10,4.57,"1,008.5"
171,04/08/21 02:15:00,1,0.0,2.0,15.56,49.30,4.99,"1,009.0"
172,04/08/21 03:15:00,76,0.5,4.0,15.06,51.70,5.21,"1,009.6"
173,04/08/21 04:15:00,119,0.5,3.0,13.55,52.40,4.00,"1,010.0"
174,04/08/21 05:15:00,142,0.5,3.5,12.03,55.10,3.30,"1,010.4"
175,04/08/21 06:15:00,174,1.0,3.0,11.00,58.20,3.12,"1,010.3"
176,04/08/21 07:15:00,133,0.0,2.5,10.03,60.80,2.81,"1,010.2"
177,04/08/21 08:15:00,139,0.0,1.0,8.74,67.10,2.99,"1,010.9"
178,04/08/21 09:15:00,168,0.0,2.0,8.12,71.60,3.31,"1,011.7"
179,04/08/21 10:15:00,195,0.0,1.5,6.99,77.20,3.28,"1,012.2"
180,04/08/21 11:15:00,197,0.0,1.0,6.89,80.70,3.81,"1,012.4"
181,04/08/21 12:15:00,195,0.0,0.5,9.21,69.60,3.95,"1,012.9"
182,04/08/21 13:15:00,197,0.0,2.5,13.86,52.60,4.35,"1,011.6"
183,04/08/21 14:15:00,187,1.5,5.0,17.34,42.40,4.46,"1,010.8"
184,04/08/21 15:15:00,183,1.5,6.0,20.03,38.40,5.45,"1,009.9"
185,04/08/21 16:15:00,173,1.0,4.5,21.10,35.40,5.23,"1,009.0"
186,04/08/21 17:15:00,100,1.0,4.0,21.70,34.10,5.21,"1,008.2"
187,04/08/21 18:15:00,114,1.5,4.0,22.70,32.00,5.18,"1,008.2"
188,04/08/21 19:15:00,108,1.5,4.0,23.02,30.50,4.76,"1,008.3"
189,04/08/21 20:15:00,104,1.5,5.0,23.66,29.10,4.65,"1,007.9"
190,04/08/21 21:15:00,105,1.5,5.0,23.79,28.10,4.25,"1,008.2"
191,04/08/21 22:15:00,104,1.0,4.0,23.98,27.30,4.01,"1,008.3"
192,04/08/21 23:15:00,175,1.5,4.0,21.99,29.40,3.35,"1,008.2"
193,04/09/21 00:15:00,171,1.0,2.5,20.03,34.30,3.83,"1,008.9"
194,04/09/21 01:15:00,168,1.5,6.0,17.82,43.90,5.39,"1,009.9"
195,04/09/21 02:15:00,170,2.0,6.0,16.13,49.70,5.63,"1,010.6"
196,04/09/21 03:15:00,170,1.5,4.0,14.94,53.90,5.70,"1,011.3"
197,04/09/21 04:15:00,171,1.0,3.5,13.28,59.00,5.45,"1,011.9"
198,04/09/21 05:15:00,168,2.0,6.0,12.53,62.30,5.53,"1,012.3"
199,04/09/21 06:15:00,171,1.5,4.0,11.64,66.00,5.51,"1,011.9"
200,04/09/21 07:15:00,171,1.0,3.5,10.91,69.60,5.58,"1,012.2"
201,04/09/21 08:15:00,171,1.5,3.5,9.90,73.90,5.48,"1,012.3"
202,04/09/21 09:15:00,175,1.0,3.0,9.19,77.40,5.45,"1,012.6"
203,04/09/21 10:15:00,175,0.0,2.0,8.52,81.00,5.45,"1,012.9"
204,04/09/21 11:15:00,171,0.0,2.0,9.01,80.50,5.85,"1,013.4"
205,04/09/21 12:15:00,173,1.0,3.0,11.18,73.50,6.63,"1,013.2"
206,04/09/21 13:15:00,168,1.5,4.5,14.17,62.10,7.03,"1,012.2"
207,04/09/21 14:15:00,178,0.5,3.5,18.46,49.40,7.69,"1,012.2"
208,04/09/21 15:15:00,181,1.0,4.5,19.08,46.40,7.33,"1,011.1"
209,04/09/21 16:15:00,126,1.5,5.0,19.75,41.30,6.24,"1,010.9"
210,04/09/21 17:15:00,171,2.0,6.5,22.11,34.50,5.74,"1,010.0"
211,04/09/21 18:15:00,184,2.0,7.0,21.49,33.60,4.81,"1,009.8"
212,04/09/21 19:15:00,184,2.5,7.0,21.51,31.20,3.78,"1,010.0"
213,04/09/21 20:15:00,177,2.5,7.5,20.13,35.20,4.28,"1,010.2"
214,04/09/21 21:15:00,174,2.5,7.0,19.17,38.10,4.57,"1,010.3"
215,04/09/21 22:15:00,174,2.5,6.5,18.10,46.20,6.38,"1,010.8"
216,04/09/21 23:15:00,195,1.5,5.0,16.42,52.70,6.74,"1,011.0"
217,04/10/21 00:15:00,181,2.0,5.5,15.77,56.80,7.24,"1,011.1"
218,04/10/21 01:15:00,170,1.5,5.0,15.08,57.20,6.69,"1,011.6"
219,04/10/21 02:15:00,174,1.5,5.0,14.53,58.10,6.40,"1,011.5"
220,04/10/21 03:15:00,175,1.5,5.0,13.76,60.60,6.29,"1,011.0"
221,04/10/21 04:15:00,171,1.5,3.5,13.16,63.60,6.42,"1,010.9"
222,04/10/21 05:15:00,173,1.0,3.5,12.77,65.90,6.57,"1,010.9"
223,04/10/21 06:15:00,174,1.5,4.5,12.90,65.20,6.53,"1,010.6"
